employee_id,cost_center,punch_in_time,punch_out_time,punch_apply_date,hours_worked,paycode
1377208,53410,2021-05-23 6:06:00,2021-05-23 11:52:00,2021-05-23,5.8,WRK
1377208,53410,,,2021-05-23,0.6,BREAK
1377208,53410,2021-05-23 12:30:00,2021-05-23 14:06:00,2021-05-23,1.6,WRK
1672200,31288,,,2021-05-23,6,ON_CALL
1672200,31288,2021-05-23 14:03:00,2021-05-23 16:03:00,2021-05-23,2,WRK
1977006,54013,,,2021-05-23,8,ABSENT
4019778,53410,,,2021-05-23,8,ABSENT
4024378,18048,,,2021-05-23,8,ABSENT
5001188,53410,,,2021-05-23,8,ABSENT
5001252,11151,,,2021-05-23,8,ABSENT
5005963,53410,2021-05-23 6:17:00,2021-05-23 8:47:00,2021-05-23,2.5,WRK
5005963,53410,,,2021-05-23,0.8,BREAK
5005963,53410,2021-05-23 9:35:00,2021-05-23 14:17:00,2021-05-23,4.7,WRK
5009770,53410,,,2021-05-23,5,ON_CALL
5009770,53410,2021-05-23 14:04:00,2021-05-23 17:04:00,2021-05-23,3,WRK
5010823,55050,,,2021-05-23,8,ABSENT
5010836,54013,2021-05-23 6:19:00,2021-05-23 11:09:00,2021-05-23,4.8,WRK
5010836,54013,,,2021-05-23,0.8,BREAK
5010836,54013,2021-05-23 12:00:00,2021-05-23 14:19:00,2021-05-23,2.3,WRK
5011015,55050,,,2021-05-23,2,CHARGE
5011015,55050,2021-05-23 14:16:00,2021-05-23 18:55:00,2021-05-23,4.7,WRK
5011015,55050,,,2021-05-23,0.7,BREAK
5011015,55050,2021-05-23 19:38:00,2021-05-23 22:16:00,2021-05-23,2.6,WRK
5011060,55050,,,2021-05-23,8,ABSENT
5011105,51100,,,2021-05-23,8,ABSENT
5011110,31288,,,2021-05-23,8,ABSENT
5011147,55050,,,2021-05-23,7,ON_CALL
5011147,55050,2021-05-23 6:05:00,2021-05-23 7:05:00,2021-05-23,1,WRK
5011401,53410,,,2021-05-23,5,ON_CALL
5011401,53410,2021-05-23 6:10:00,2021-05-23 9:10:00,2021-05-23,3,WRK
5011499,53410,,,2021-05-23,8,ABSENT
5012159,54013,,,2021-05-23,8,ABSENT
5012163,11151,,,2021-05-23,8,ABSENT
5012165,18048,,,2021-05-23,8,ABSENT
5012319,53410,,,2021-05-23,7,ON_CALL
5012319,53410,2021-05-23 14:19:00,2021-05-23 15:19:00,2021-05-23,1,WRK
5014147,54013,,,2021-05-23,8,ABSENT
507800,53410,,,2021-05-23,8,ABSENT
1377208,53410,,,2021-05-24,6,ON_CALL
1377208,53410,2021-05-24 14:13:00,2021-05-24 16:13:00,2021-05-24,2,WRK
1672200,31288,,,2021-05-24,1,CHARGE
1672200,31288,2021-05-24 6:09:00,2021-05-24 11:46:00,2021-05-24,5.6,WRK
1672200,31288,,,2021-05-24,0.7,BREAK
1672200,31288,2021-05-24 12:25:00,2021-05-24 14:09:00,2021-05-24,1.7,WRK
1977006,54013,,,2021-05-24,8,ABSENT
3974506,54013,,,2021-05-24,8,ON_CALL
4019778,53410,,,2021-05-24,7,ON_CALL
4019778,53410,2021-05-24 6:04:00,2021-05-24 7:04:00,2021-05-24,1,WRK
4024378,18048,,,2021-05-24,8,ABSENT
5001188,53410,,,2021-05-24,8,ON_CALL
5001252,11151,,,2021-05-24,7,ON_CALL
5001252,11151,2021-05-24 14:05:00,2021-05-24 15:05:00,2021-05-24,1,WRK
5005963,53410,,,2021-05-24,6,ON_CALL
5005963,53410,2021-05-24 6:00:00,2021-05-24 8:00:00,2021-05-24,2,WRK
5010823,55050,,,2021-05-24,8,ABSENT
5010836,54013,,,2021-05-24,8,ABSENT
5011015,55050,,,2021-05-24,7,ON_CALL
5011015,55050,2021-05-24 6:14:00,2021-05-24 7:14:00,2021-05-24,1,WRK
5011018,54013,,,2021-05-24,1,CHARGE
