employee_id,cost_center,punch_in_time,punch_out_time,punch_apply_date,hours_worked,paycode
1377208,53410,2021-06-23 6:06:00,2021-06-23 8:42:00,2021-06-23,2.6,WRK
1377208,53410,,,2021-06-23,0.6,BREAK
1377208,53410,2021-06-23 9:20,2021-06-23 14:06,2021-06-23,4.8,WRK
1672200,55050,,,2021-06-23,8,ABSENT
1977006,51120,,,2021-06-23,5,ON_CALL
1977006,51120,2021-06-23 6:12:00,2021-06-23 9:12:00,2021-06-23,3,WRK
3974506,53410,,,2021-06-23,8,ABSENT
4024378,18048,,,2021-06-23,7,ON_CALL
4024378,18048,2021-06-23 14:05:00,2021-06-23 15:05:00,2021-06-23,1,WRK
5001252,54013,,,2021-06-23,2,CHARGE
5001252,54013,2021-06-23 6:19:00,2021-06-23 8:55:00,2021-06-23,2.6,WRK
5001252,54013,,,2021-06-23,0.8,BREAK
5001252,54013,2021-06-23 9:46:00,2021-06-23 14:19:00,2021-06-23,4.5,WRK
5005963,51100,,,2021-06-23,8,ON_CALL
5009770,53410,2021-06-23 14:05:00,2021-06-23 17:35:00,2021-06-23,3.5,WRK
5009770,53410,,,2021-06-23,0.8,BREAK
5009770,53410,2021-06-23 18:21:00,2021-06-23 22:05:00,2021-06-23,3.7,WRK
5010823,53410,,,2021-06-23,8,ON_CALL
5010836,51100,,,2021-06-23,8,ABSENT
5011015,51100,,,2021-06-23,8,ABSENT
5011018,54013,,,2021-06-23,8,ON_CALL
5011060,54013,,,2021-06-23,2,CHARGE
5011060,54013,2021-06-23 14:12:00,2021-06-23 19:51:00,2021-06-23,5.7,WRK
5011060,54013,,,2021-06-23,0.9,BREAK
5011060,54013,2021-06-23 20:45:00,2021-06-23 22:12:00,2021-06-23,1.4,WRK
5011105,51100,,,2021-06-23,6,ON_CALL
5011105,51100,2021-06-23 14:19:00,2021-06-23 16:19:00,2021-06-23,2,WRK
5011147,11151,,,2021-06-23,7,ON_CALL
5011147,11151,2021-06-23 6:09:00,2021-06-23 7:09:00,2021-06-23,1,WRK
5011401,31288,,,2021-06-23,8,ABSENT
5011499,18048,,,2021-06-23,5,ON_CALL
5011499,18048,2021-06-23 6:08:00,2021-06-23 9:08:00,2021-06-23,3,WRK
5011633,53410,,,2021-06-23,8,ABSENT
5012159,18048,,,2021-06-23,8,ABSENT
5012163,53410,,,2021-06-23,7,ON_CALL
5012163,53410,2021-06-23 14:20:00,2021-06-23 15:20:00,2021-06-23,1,WRK
5012165,51120,,,2021-06-23,3,CHARGE
5012165,51120,2021-06-23 6:15:00,2021-06-23 9:46:00,2021-06-23,3.5,WRK
5012165,51120,,,2021-06-23,0.6,BREAK
5012165,51120,2021-06-23 10:21:00,2021-06-23 14:15:00,2021-06-23,3.9,WRK
5012319,51100,,,2021-06-23,8,ABSENT
5012329,54013,,,2021-06-23,8,ABSENT
5014147,11151,,,2021-06-23,2,CHARGE
5014147,11151,2021-06-23 14:01:00,2021-06-23 17:33:00,2021-06-23,3.5,WRK
5014147,11151,,,2021-06-23,0.6,BREAK
5014147,11151,2021-06-23 18:10:00,2021-06-23 22:01:00,2021-06-23,3.9,WRK
1377208,53410,2021-06-24 6:07:00,2021-06-24 9:57:00,2021-06-24,3.8,WRK
1377208,53410,,,2021-06-24,0.9,BREAK
1377208,53410,2021-06-24 10:49:00,2021-06-24 14:07:00,2021-06-24,3.3,WRK
1672200,55050,,,2021-06-24,2,CHARGE
1672200,55050,2021-06-24 14:16:00,2021-06-24 16:52:00,2021-06-24,2.6,WRK
1672200,55050,,,2021-06-24,0.9,BREAK
1672200,55050,2021-06-24 17:46:00,2021-06-24 22:16:00,2021-06-24,4.5,WRK
1977006,51120,,,2021-06-24,8,ABSENT
3974506,53410,2021-06-24 6:17:00,2021-06-24 9:01:00,2021-06-24,2.7,WRK
3974506,53410,,,2021-06-24,0.7,BREAK
3974506,53410,2021-06-24 9:43:00,2021-06-24 14:17:00,2021-06-24,4.6,WRK
4019778,31288,,,2021-06-24,3,CHARGE
4019778,31288,2021-06-24 14:04:00,2021-06-24 16:41:00,2021-06-24,2.6,WRK
4019778,31288,,,2021-06-24,0.8,BREAK
4019778,31288,2021-06-24 17:31:00,2021-06-24 22:04:00,2021-06-24,4.5,WRK
4024378,18048,,,2021-06-24,8,ON_CALL
5001188,51120,,,2021-06-24,8,ABSENT
5001252,54013,2021-06-24 6:09:00,2021-06-24 10:39:00,2021-06-24,4.5,WRK
5001252,54013,,,2021-06-24,0.7,BREAK
5001252,54013,2021-06-24 11:21:00,2021-06-24 14:09:00,2021-06-24,2.8,WRK
5005963,51100,,,2021-06-24,8,ABSENT
5009770,53410,,,2021-06-24,7,ON_CALL
5009770,53410,2021-06-24 6:14:00,2021-06-24 7:14:00,2021-06-24,1,WRK
5010823,53410,,,2021-06-24,8,ABSENT
5010831,51120,2021-06-24 14:20:00,2021-06-24 17:51:00,2021-06-24,3.5,WRK
5010831,51120,,,2021-06-24,0.9,BREAK
5010831,51120,2021-06-24 18:46:00,2021-06-24 22:20:00,2021-06-24,3.6,WRK
5011060,54013,,,2021-06-24,8,ON_CALL
5011105,51100,,,2021-06-24,6,ON_CALL
5011105,51100,2021-06-24 14:19:00,2021-06-24 16:19:00,2021-06-24,2,WRK
5011110,51120,2021-06-24 14:06:00,2021-06-24 18:46:00,2021-06-24,4.7,WRK
5011110,51120,,,2021-06-24,0.8,BREAK
5011110,51120,2021-06-24 19:32:00,2021-06-24 22:06:00,2021-06-24,2.6,WRK
5011147,11151,,,2021-06-24,5,ON_CALL
5011147,11151,2021-06-24 14:14:00,2021-06-24 17:14:00,2021-06-24,3,WRK
