product_id,product_name,description,price,mrp,pieces_per_case,weight_per_piece,uom,brand,category,tax_percent,active,created_by,created_date,updated_by,updated_date
1,LB Act F 85g X 144 Rs 22,LB Act F 85g X 144 Rs 22,16.0303,22,144,85,CD,LiteBee,PW,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
2,LB Care 85g X 144 Rs 22,LB Care 85g X 144 Rs 22,16.0303,22,144,85,CD,LiteBee,PW,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
3,LB Deo F 85g X 144 Rs 22,LB Deo F 85g X 144 Rs 22,16.0303,22,144,85,CD,LiteBee,PW,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
4,LB Red 62g X144 Rs 15,LB Red 62g X144 Rs 15,10.731,15,144,62,CD,LiteBee,Pw,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
5,LB Red 85g X 144 Rs 22,LB Red 85g X 144 Rs 22,16.0303,22,144,85,CD,LiteBee,PW,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
6,Lorii 75g X 144 Rs 27,Lorii 75g X 144 Rs 27,19.6735,27,144,75,CD,Lorii,PW,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
7,Pondy DFT 100gX100 Rs65,Pondy DFT 100gX100 Rs65,46.5011,65,100,100,CD,Pondy,Skin Care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
8,Pondy DFT 20gX324 Rs12,Pondy DFT 20gX324 Rs12,8.58483,12,324,20,CD,Pondy,Skin Care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
9,Pondy DFT 400gX25 Rs225,Pondy DFT 400gX25 Rs225,160.965,225,25,400,CD,Pondy,Skin Care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
10,Pondy DFT 50gX200 Rs35,Pondy DFT 50gX200 Rs35,25.039,35,200,50,CD,Pondy,Skin Care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
11,Pondy Sandal 100gX72 Rs70,Pondy Sandal 100gX72 Rs70,50.0782,70,72,100,CD,Pondy,Skin Care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
12,Pondy Sandal 20gX324 Rs12,Pondy Sandal 20gX324,8.03686,12,324,20,CD,Pondy,Skin Care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
13,Pondy Sandal 300gX25 Rs180,Pondy Sandal 300gX25 Rs180,128.772,180,25,300,CD,Pondy,Skin Care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
14,Pondy Sandal 50gX144 Rs40,Pondy Sandal 50gX144 Rs40,28.6161,40,144,50,CD,Pondy,Skin Care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
15,SS SelectB 350mlX24Rs260,SS SelectB 350mlX24Rs260,182.683,260,24,350,CD,SunShine,Hair care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
16,SS Select HFS350mlX24 Rs260,SS Select HFS350mlX24 Rs260,182.683,260,24,350,CD,SunShine,Hair care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
17,SS SelectP350mlX24 Rs260,SS SelectP350mlX24 Rs260,182.683,260,24,350,CD,SunShine,Hair care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
18,Vimos Bar 200g X 60 Rs 18,Vimos Bar 200g X 60 Rs 18,12.8773,18,60,200,CD,Vimos,HHC,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
19,CP 180mlX48 Rs 135,CP 180mlX48 Rs 135,96.5792,135,48,180,CD,Cacti Plus,Hair care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
20,CP425X18 Rs290 ofr Rs50 off,CP425X18 Rs290 ofr Rs50 off,171.696,290,18,425,CD,Cacti Plus,Hair care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
21,CP 425ml X 18 Rs 290,CP 425ml X 18 Rs 290,207.467,290,18,425,CD,Cacti Plus,Hair care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
22,WL L & O 300gX60 Rs 20 new,WL L & O 300gX60 Rs 20 new,14.573,20,60,300,CD,WhiteSurf,FW,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
23,WL L & O 300gX60 Rs 20  off,WL L & O 300gX60 Rs 20  off,14.573,20,60,300,CD,WhiteSurf,FW,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
24,Vimos B a/g 95gx72 Rs10,Vimos B a/g 95gx72 Rs10,7.28651,10,72,95,CD,Vimos,HHC,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
25,FAL 25gX144 FW ofr Rs65,FAL 25gX144 FW ofr Rs65,46.5011,65,144,25,CD,Fight and Love,Skin care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
26,FAL MV 25g X 288 Rs 65,FAL MV 25g X 288 Rs 65,46.5011,65,288,25,CD,Fight and Love,Skin care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
27,FAL 50g x 144 Rs 120,FAL 50g x 144 Rs 120,85.8482,120,144,50,CD,Fight and Love,Skin care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
28,SS Pink 3.5ml x1680,SS Pink 3.5ml x1680,0.648866,1,1680,3.5,CD,SunShine,Hair care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
29,Vasten TM 300mlX40 Rs296,Vasten TM 300mlX40 Rs296,211.759,296,40,300,CD,Vasten,Skin Care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
30,DEBE Body Silk 300ml,DEBE Body Silk 300ml,214.621,300,12,300,CD,DEBE,Skin Care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
31,Pears Amber 75g,Pears Amber 75g,36.4325,0.01,72,75,CD,Pears,Pw,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
32,Pep Perfect T.Brush,Pep Perfect T.Brush,26.8143,37,180,26,CD,WhiteDent,Oral Care,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
33,DEBE BS Bar Pink 100g,DEBE BS Bar Pink 100g,45.905,63,48,100,CD,DEBE,Pw,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
34,DEBE BS Bar Pink 100g Rs65,DEBE BS Bar Pink 100g Rs65,47.3623,65,48,100,CD,DEBE,Pw,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
35,DEBE BS Bar Pink 100g Rs 70,DEBE BS Bar Pink 100g Rs 70,51.0056,70,48,100,CD,DEBE,Pw,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
36,DEBE BS Bar Pink 100g Rs 80,DEBE BS Bar Pink 100g Rs 80,58.2921,80,48,100,CD,DEBE,Pw,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
37,DEBE BS Bar Pink 100g Rs 65,DEBE BS Bar Pink 100g Rs 65,47.3623,65,48,100,CD,DEBE,Pw,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
38,DEBE BS Bar Pink 100g Rs 80,DEBE BS Bar Pink 100g Rs 80,57.2321,80,48,100,CD,DEBE,Pw,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
39,DEBE BS Bar Fresh 100g,DEBE BS Bar Fresh 100g,45.905,63,48,100,CD,DEBE,Pw,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
40,DEBE BS Bar Fresh 100g Rs65,DEBE BS Bar Fresh 100g Rs65,47.3623,65,48,100,CD,DEBE,Pw,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
41,DEBE BS Bar Fresh 100g Rs70,DEBE BS Bar Fresh 100g Rs70,51.0056,70,48,100,CD,DEBE,Pw,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
42,DEBE BS Bar Fresh 100g Rs80,DEBE BS Bar Fresh 100g Rs80,58.2921,80,48,100,CD,DEBE,Pw,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
43,DEBE BS Bar Fresh 100g Rs65,DEBE BS Bar Fresh 100g Rs65,47.3623,65,48,100,CD,DEBE,Pw,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
44,DEBE BS Bar Fresh 100g Rs80,DEBE BS Bar Fresh 100g Rs80,57.2321,80,48,100,CD,DEBE,Pw,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
45,DEBE BS Bar Fresh 100g Rs80New,DEBE BS Bar Fresh 100g Rs80New,57.2321,80,48,100,CD,DEBE,Pw,13,Y,manis,2017-08-08 0:00:00,manis,2017-08-08 0:00:00
